 Copyright (C) 1995-2014 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.2.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: T (file variable)
Type: float
Total Size: 22915728 bytes
            5728932 values
Number of Dimensions: 4
Dimensions and sizes:	[Time | 33] x [bottom_top | 34] x [south_north | 69] x [west_east | 74]
Coordinates: 
Number Of Attributes: 6
  FieldType :	104
  MemoryOrder :	XYZ
  description :	perturbation potential temperature (theta-t0)
  units :	K
  stagger :	
  coordinates :	XLONG XLAT
(0,0,7,46)	2.38797
(0,0,7,47)	1.893921
(0,0,7,48)	2.094574
(0,0,7,49)	2.506042
(0,0,7,50)	2.41745
(0,0,7,51)	1.911621
(0,0,7,52)	1.459198
(0,0,7,53)	1.07019
(0,0,7,54)	0.808075
(0,0,7,55)	1.395081
(0,0,7,56)	2.430328
(0,0,7,57)	2.718353
(0,0,7,58)	3.729126
(0,0,7,59)	4.002472
(0,0,7,60)	4.529694
(0,0,7,61)	5.319427
(0,0,7,62)	5.669678
(0,0,7,63)	5.724213
(0,0,7,64)	5.731659
(0,0,7,65)	5.926514
(0,0,7,66)	5.540253
(0,0,7,67)	5.35498
(0,0,7,68)	5.390472
(0,0,7,69)	5.117493
(0,0,7,70)	5.09375
(0,0,7,71)	5.072479
(0,0,7,72)	5.095367
(0,0,7,73)	4.83313
(0,0,8,0)	13.92557
(0,0,8,1)	14.89896
(0,0,8,2)	13.49747
(0,0,8,3)	13.29739
(0,0,8,4)	12.22968
(0,0,8,5)	13.54105
(0,0,8,6)	11.84616
(0,0,8,7)	12.52069
(0,0,8,8)	12.41641
(0,0,8,9)	11.75534
(0,0,8,10)	11.28156
(0,0,8,11)	11.22797
(0,0,8,12)	10.24869
(0,0,8,13)	10.77921
(0,0,8,14)	11.46854
(0,0,8,15)	11.23224
(0,0,8,16)	11.35495
(0,0,8,17)	11.56738
(0,0,8,18)	11.3089
(0,0,8,19)	11.02051
(0,0,8,20)	10.10214
(0,0,8,21)	9.672974
(0,0,8,22)	9.178619
(0,0,8,23)	8.91864
(0,0,8,24)	8.399689
(0,0,8,25)	8.438812
(0,0,8,26)	7.612
(0,0,8,27)	7.744446
(0,0,8,28)	7.610291
(0,0,8,29)	7.18219
(0,0,8,30)	6.367615
(0,0,8,31)	6.30481
(0,0,8,32)	5.75824
(0,0,8,33)	4.965973
(0,0,8,34)	4.218475
(0,0,8,35)	3.630951
(0,0,8,36)	3.27594
(0,0,8,37)	3.136444
(0,0,8,38)	3.079163
(0,0,8,39)	3.039001
(0,0,8,40)	3.043274
(0,0,8,41)	3.116608
(0,0,8,42)	3.205109
(0,0,8,43)	3.093018
(0,0,8,44)	2.960022
(0,0,8,45)	2.760559
(0,0,8,46)	2.45636
(0,0,8,47)	1.944641
(0,0,8,48)	1.981171
(0,0,8,49)	1.927765
(0,0,8,50)	1.763336
(0,0,8,51)	1.308289
(0,0,8,52)	0.9082031
(0,0,8,53)	0.6523438
(0,0,8,54)	0.4934998
(0,0,8,55)	1.158447
(0,0,8,56)	2.382324
(0,0,8,57)	2.931366
(0,0,8,58)	3.540527
(0,0,8,59)	3.730225
(0,0,8,60)	4.125641
(0,0,8,61)	4.631256
(0,0,8,62)	4.863892
(0,0,8,63)	4.999298
(0,0,8,64)	5.114105
(0,0,8,65)	5.477142
(0,0,8,66)	5.499664
(0,0,8,67)	5.515686
(0,0,8,68)	5.725922
(0,0,8,69)	5.430542
(0,0,8,70)	4.063477
(0,0,8,71)	4.165527
(0,0,8,72)	4.976074
(0,0,8,73)	4.996857
(0,0,9,0)	13.91364
(0,0,9,1)	14.59735
(0,0,9,2)	14.14047
(0,0,9,3)	13.99176
(0,0,9,4)	13.45178
(0,0,9,5)	11.98221
(0,0,9,6)	12.03802
(0,0,9,7)	13.06345
(0,0,9,8)	12.85187
(0,0,9,9)	11.89258
(0,0,9,10)	11.92642
(0,0,9,11)	12.01544
(0,0,9,12)	11.02151
(0,0,9,13)	11.10208
(0,0,9,14)	11.79547
(0,0,9,15)	11.44608
(0,0,9,16)	11.61627
(0,0,9,17)	11.8526
(0,0,9,18)	11.61874
(0,0,9,19)	11.35129
(0,0,9,20)	11.04813
(0,0,9,21)	9.728943
(0,0,9,22)	9.234619
(0,0,9,23)	9.208557
(0,0,9,24)	8.924225
(0,0,9,25)	8.249603
(0,0,9,26)	7.39502
(0,0,9,27)	7.303253
(0,0,9,28)	7.192841
(0,0,9,29)	6.776886
(0,0,9,30)	5.985565
(0,0,9,31)	6.020874
(0,0,9,32)	5.57074
